,Year,Semi,Model
253,2055,47.7662230112653,MIROC5 8.5
254,2056,34.8760387106464,MIROC5 8.5
255,2057,12.4554222297836,MIROC5 8.5
256,2058,53.8133571866234,MIROC5 8.5
257,2059,89.5721457002243,MIROC5 8.5
258,2060,189.143119684754,MIROC5 8.5
259,2061,141.351391879283,MIROC5 8.5
260,2062,31.0040739841951,MIROC5 8.5
261,2063,28.136547802178,MIROC5 8.5
262,2064,82.9237377383582,MIROC5 8.5
263,2065,42.4853984779115,MIROC5 8.5
264,2066,166.314907869316,MIROC5 8.5
265,2067,108.118230232415,MIROC5 8.5
266,2068,93.0615032571021,MIROC5 8.5
267,2069,39.4821814719169,MIROC5 8.5
268,2070,69.20004028228,MIROC5 8.5
269,2071,274.351694540052,MIROC5 8.5
270,2072,159.37192396858,MIROC5 8.5
271,2073,24.9299551731862,MIROC5 8.5
272,2074,92.9639901354755,MIROC5 8.5
273,2075,10.2306742196626,MIROC5 8.5
274,2076,243.202621884544,MIROC5 8.5
275,2077,183.378696071732,MIROC5 8.5
276,2078,57.0932788372133,MIROC5 8.5
277,2079,72.3088477984414,MIROC5 8.5
278,2080,199.992076143476,MIROC5 8.5
279,2081,78.1189635500543,MIROC5 8.5
280,2082,61.3103735867754,MIROC5 8.5
281,2083,140.285401505902,MIROC5 8.5
282,2084,102.326101537884,MIROC5 8.5
283,2085,29.9984561148599,MIROC5 8.5
284,2086,59.6605296770107,MIROC5 8.5
285,2087,5.86941965807615,MIROC5 8.5
286,2088,81.4290782299971,MIROC5 8.5
287,2089,64.8685034410952,MIROC5 8.5
288,2090,38.5779260799361,MIROC5 8.5
289,2091,133.051500725371,MIROC5 8.5
290,2092,125.336879757644,MIROC5 8.5
291,2093,33.1687706062676,MIROC5 8.5
292,2094,30.99937340926,MIROC5 8.5
293,2095,50.7508254541205,MIROC5 8.5
294,2096,27.0964037069679,MIROC5 8.5
295,2097,182.026273310673,MIROC5 8.5
296,2098,63.7571524012764,MIROC5 8.5
297,2099,152.160607013148,MIROC5 8.5
363,2016,127.748343607571,HadGEM2-CC 4.5
364,2017,23.9078253190827,HadGEM2-CC 4.5
365,2018,13.3492435928414,HadGEM2-CC 4.5
366,2019,90.3259372590722,HadGEM2-CC 4.5
367,2020,56.5199068193278,HadGEM2-CC 4.5
368,2021,254.004847328366,HadGEM2-CC 4.5
369,2022,150.622983714444,HadGEM2-CC 4.5
370,2023,29.5066216131004,HadGEM2-CC 4.5
371,2024,36.2535144970987,HadGEM2-CC 4.5
372,2025,190.65004399463,HadGEM2-CC 4.5
373,2026,99.3891409202919,HadGEM2-CC 4.5
374,2027,39.8073097901127,HadGEM2-CC 4.5
375,2028,100.72978972973,HadGEM2-CC 4.5
376,2029,315.041740223569,HadGEM2-CC 4.5
377,2030,270.160180458571,HadGEM2-CC 4.5
378,2031,118.325985345647,HadGEM2-CC 4.5
379,2032,46.1125940946919,HadGEM2-CC 4.5
380,2033,96.3392613510629,HadGEM2-CC 4.5
381,2034,163.163074337926,HadGEM2-CC 4.5
382,2035,227.67093241714,HadGEM2-CC 4.5
383,2036,99.0128425978335,HadGEM2-CC 4.5
384,2037,129.931564206893,HadGEM2-CC 4.5
385,2038,237.40560151048,HadGEM2-CC 4.5
386,2039,210.025760028873,HadGEM2-CC 4.5
387,2040,147.97910073061,HadGEM2-CC 4.5
388,2041,125.738516801051,HadGEM2-CC 4.5
389,2042,238.065289529266,HadGEM2-CC 4.5
390,2043,152.974301850934,HadGEM2-CC 4.5
391,2044,144.801881628949,HadGEM2-CC 4.5
392,2045,56.3573816106171,HadGEM2-CC 4.5
393,2046,11.5613533992263,HadGEM2-CC 4.5
394,2047,68.807870183871,HadGEM2-CC 4.5
395,2048,97.1739032158673,HadGEM2-CC 4.5
396,2049,59.0091778492221,HadGEM2-CC 4.5
397,2050,49.9919466280053,HadGEM2-CC 4.5
398,2051,63.7515995437299,HadGEM2-CC 4.5
399,2052,148.399961129015,HadGEM2-CC 4.5
400,2053,205.062791601499,HadGEM2-CC 4.5
401,2054,132.56459002487,HadGEM2-CC 4.5
402,2055,58.8899484226237,HadGEM2-CC 4.5
403,2056,160.430471331889,HadGEM2-CC 4.5
404,2057,186.34838158558,HadGEM2-CC 4.5
405,2058,200.147221379816,HadGEM2-CC 4.5
406,2059,172.54582604203,HadGEM2-CC 4.5
407,2060,28.5861831322648,HadGEM2-CC 4.5
408,2061,88.0810805686381,HadGEM2-CC 4.5
409,2062,145.680377607916,HadGEM2-CC 4.5
410,2063,62.9765728982217,HadGEM2-CC 4.5
411,2064,57.9728091912374,HadGEM2-CC 4.5
412,2065,140.985360849343,HadGEM2-CC 4.5
413,2066,183.735414208263,HadGEM2-CC 4.5
414,2067,162.199957119513,HadGEM2-CC 4.5
415,2068,140.99815647176,HadGEM2-CC 4.5
416,2069,81.4761118581146,HadGEM2-CC 4.5
417,2070,352.116115171749,HadGEM2-CC 4.5
418,2071,228.990410851293,HadGEM2-CC 4.5
419,2072,47.2486812207654,HadGEM2-CC 4.5
420,2073,99.7272519743936,HadGEM2-CC 4.5
421,2074,116.31344823512,HadGEM2-CC 4.5
422,2075,61.1870448353995,HadGEM2-CC 4.5
423,2076,140.194838467885,HadGEM2-CC 4.5
424,2077,239.02068840793,HadGEM2-CC 4.5
425,2078,173.28449655889,HadGEM2-CC 4.5
426,2079,172.712303533222,HadGEM2-CC 4.5
427,2080,114.368625770899,HadGEM2-CC 4.5
428,2081,28.3876109388222,HadGEM2-CC 4.5
429,2082,44.7910202173074,HadGEM2-CC 4.5
430,2083,86.5681279849532,HadGEM2-CC 4.5
431,2084,44.3143952350609,HadGEM2-CC 4.5
432,2085,96.3986984284549,HadGEM2-CC 4.5
433,2086,55.4429022371427,HadGEM2-CC 4.5
434,2087,101.86754461002,HadGEM2-CC 4.5
435,2088,169.04949351588,HadGEM2-CC 4.5
436,2089,37.1199546681509,HadGEM2-CC 4.5
437,2090,101.951501690686,HadGEM2-CC 4.5
438,2091,54.0588994108948,HadGEM2-CC 4.5
439,2092,54.8121227734552,HadGEM2-CC 4.5
440,2093,63.8261910554556,HadGEM2-CC 4.5
441,2094,50.8303827514903,HadGEM2-CC 4.5
442,2095,29.8854476374867,HadGEM2-CC 4.5
443,2096,32.6982087728646,HadGEM2-CC 4.5
444,2097,24.7130538158653,HadGEM2-CC 4.5
445,2098,193.579860638164,HadGEM2-CC 4.5
446,2099,84.1862030073388,HadGEM2-CC 4.5
512,2016,139.085977774201,HadGEM2-CC 8.5
513,2017,35.7798593271577,HadGEM2-CC 8.5
514,2018,66.1304185974221,HadGEM2-CC 8.5
515,2019,124.230762623078,HadGEM2-CC 8.5
516,2020,56.2560871805635,HadGEM2-CC 8.5
517,2021,60.098815661364,HadGEM2-CC 8.5
518,2022,53.0916790095411,HadGEM2-CC 8.5
519,2023,274.599635866427,HadGEM2-CC 8.5
520,2024,180.569377830643,HadGEM2-CC 8.5
521,2025,183.135961804935,HadGEM2-CC 8.5
522,2026,179.797151403464,HadGEM2-CC 8.5
523,2027,214.503118712657,HadGEM2-CC 8.5
524,2028,101.27810430271,HadGEM2-CC 8.5
525,2029,139.303911879424,HadGEM2-CC 8.5
526,2030,126.22428388299,HadGEM2-CC 8.5
527,2031,161.892811498395,HadGEM2-CC 8.5
528,2032,329.84802966048,HadGEM2-CC 8.5
529,2033,266.362139558062,HadGEM2-CC 8.5
530,2034,127.264516397423,HadGEM2-CC 8.5
531,2035,34.869564538059,HadGEM2-CC 8.5
532,2036,92.9734210305902,HadGEM2-CC 8.5
533,2037,96.6074039328342,HadGEM2-CC 8.5
534,2038,121.717314236356,HadGEM2-CC 8.5
535,2039,98.6677829949153,HadGEM2-CC 8.5
536,2040,261.074936163334,HadGEM2-CC 8.5
537,2041,200.378531446761,HadGEM2-CC 8.5
538,2042,297.207860503767,HadGEM2-CC 8.5
539,2043,105.228596807363,HadGEM2-CC 8.5
540,2044,37.8382940213414,HadGEM2-CC 8.5
541,2045,143.038098172638,HadGEM2-CC 8.5
542,2046,155.884149698954,HadGEM2-CC 8.5
543,2047,155.025054982305,HadGEM2-CC 8.5
544,2048,149.209459673481,HadGEM2-CC 8.5
545,2049,314.472827589179,HadGEM2-CC 8.5
546,2050,137.696124151184,HadGEM2-CC 8.5
547,2051,80.4779371916572,HadGEM2-CC 8.5
548,2052,115.951543269228,HadGEM2-CC 8.5
549,2053,242.573149335293,HadGEM2-CC 8.5
550,2054,170.202669929594,HadGEM2-CC 8.5
551,2055,146.388550291574,HadGEM2-CC 8.5
552,2056,49.7181616512622,HadGEM2-CC 8.5
553,2057,55.7190445503137,HadGEM2-CC 8.5
554,2058,87.0684504328542,HadGEM2-CC 8.5
555,2059,51.5268447079846,HadGEM2-CC 8.5
556,2060,8.07486972730548,HadGEM2-CC 8.5
557,2061,167.915855440203,HadGEM2-CC 8.5
558,2062,123.626512753526,HadGEM2-CC 8.5
559,2063,155.352317545615,HadGEM2-CC 8.5
560,2064,202.900341165531,HadGEM2-CC 8.5
561,2065,206.825574088294,HadGEM2-CC 8.5
562,2066,227.842543342419,HadGEM2-CC 8.5
563,2067,188.284936306262,HadGEM2-CC 8.5
564,2068,120.220053569803,HadGEM2-CC 8.5
565,2069,122.927138994616,HadGEM2-CC 8.5
566,2070,144.409279971074,HadGEM2-CC 8.5
567,2071,53.2375256700125,HadGEM2-CC 8.5
568,2072,156.818873117846,HadGEM2-CC 8.5
569,2073,164.831194845301,HadGEM2-CC 8.5
570,2074,147.451548424361,HadGEM2-CC 8.5
571,2075,172.469631651604,HadGEM2-CC 8.5
572,2076,218.596231048374,HadGEM2-CC 8.5
573,2077,81.1400991634154,HadGEM2-CC 8.5
574,2078,84.8706361431196,HadGEM2-CC 8.5
575,2079,5.60958329756185,HadGEM2-CC 8.5
576,2080,17.5756232248645,HadGEM2-CC 8.5
577,2081,198.801334517871,HadGEM2-CC 8.5
578,2082,36.2537011433705,HadGEM2-CC 8.5
579,2083,59.1211843893566,HadGEM2-CC 8.5
580,2084,63.7633542342048,HadGEM2-CC 8.5
581,2085,22.9309600972523,HadGEM2-CC 8.5
582,2086,33.3808664634007,HadGEM2-CC 8.5
583,2087,57.5979542373953,HadGEM2-CC 8.5
584,2088,49.8057926099416,HadGEM2-CC 8.5
585,2089,8.86607742056789,HadGEM2-CC 8.5
586,2090,40.3549119630683,HadGEM2-CC 8.5
587,2091,102.327047237589,HadGEM2-CC 8.5
588,2092,32.6913334518673,HadGEM2-CC 8.5
589,2093,105.393289801221,HadGEM2-CC 8.5
590,2094,57.2651913055065,HadGEM2-CC 8.5
591,2095,147.487396356852,HadGEM2-CC 8.5
592,2096,149.748352594301,HadGEM2-CC 8.5
593,2097,189.51176672309,HadGEM2-CC 8.5
594,2098,183.076010295013,HadGEM2-CC 8.5
595,2099,29.3401586931716,HadGEM2-CC 8.5
661,2016,144.156847290125,HadGEM2-ES 4.5
662,2017,239.494483112728,HadGEM2-ES 4.5
663,2018,287.955986534023,HadGEM2-ES 4.5
664,2019,237.781031691445,HadGEM2-ES 4.5
665,2020,229.431185306551,HadGEM2-ES 4.5
666,2021,29.6033754594132,HadGEM2-ES 4.5
667,2022,127.634834355504,HadGEM2-ES 4.5
668,2023,139.549928856652,HadGEM2-ES 4.5
669,2024,148.083758031615,HadGEM2-ES 4.5
670,2025,87.2485669273624,HadGEM2-ES 4.5
671,2026,12.8293524948284,HadGEM2-ES 4.5
672,2027,18.4148823555552,HadGEM2-ES 4.5
673,2028,113.160819974767,HadGEM2-ES 4.5
674,2029,242.393089944442,HadGEM2-ES 4.5
675,2030,127.380103541333,HadGEM2-ES 4.5
676,2031,32.0789463304843,HadGEM2-ES 4.5
677,2032,268.248015296733,HadGEM2-ES 4.5
678,2033,231.645639677498,HadGEM2-ES 4.5
679,2034,62.8130418119308,HadGEM2-ES 4.5
680,2035,44.0857345224062,HadGEM2-ES 4.5
681,2036,55.8740568965233,HadGEM2-ES 4.5
682,2037,109.487470797661,HadGEM2-ES 4.5
683,2038,124.915628678597,HadGEM2-ES 4.5
684,2039,134.545141299962,HadGEM2-ES 4.5
685,2040,28.1674132180332,HadGEM2-ES 4.5
686,2041,26.4899773657981,HadGEM2-ES 4.5
687,2042,103.056685459269,HadGEM2-ES 4.5
688,2043,295.35231111455,HadGEM2-ES 4.5
689,2044,76.6713143313491,HadGEM2-ES 4.5
690,2045,237.620007139396,HadGEM2-ES 4.5
691,2046,242.230434566436,HadGEM2-ES 4.5
692,2047,158.283782959136,HadGEM2-ES 4.5
693,2048,7.41826892866328,HadGEM2-ES 4.5
694,2049,29.7991647938475,HadGEM2-ES 4.5
695,2050,179.316856067488,HadGEM2-ES 4.5
696,2051,145.278658990832,HadGEM2-ES 4.5
697,2052,163.494053252541,HadGEM2-ES 4.5
698,2053,147.161074606919,HadGEM2-ES 4.5
699,2054,36.803776921968,HadGEM2-ES 4.5
700,2055,79.156421696879,HadGEM2-ES 4.5
701,2056,61.485303453721,HadGEM2-ES 4.5
702,2057,26.404483527005,HadGEM2-ES 4.5
703,2058,38.0262752424293,HadGEM2-ES 4.5
704,2059,28.6983748442461,HadGEM2-ES 4.5
705,2060,69.6494009876166,HadGEM2-ES 4.5
706,2061,49.3748831084958,HadGEM2-ES 4.5
707,2062,29.0125358515868,HadGEM2-ES 4.5
708,2063,99.9653051404742,HadGEM2-ES 4.5
709,2064,86.72709835602,HadGEM2-ES 4.5
710,2065,242.090025718933,HadGEM2-ES 4.5
711,2066,203.977872499593,HadGEM2-ES 4.5
712,2067,109.99224113095,HadGEM2-ES 4.5
713,2068,111.092038298458,HadGEM2-ES 4.5
714,2069,95.7782998804224,HadGEM2-ES 4.5
715,2070,125.516307779467,HadGEM2-ES 4.5
716,2071,38.4113162017513,HadGEM2-ES 4.5
717,2072,64.7837059162564,HadGEM2-ES 4.5
718,2073,40.5850860567381,HadGEM2-ES 4.5
719,2074,205.039555236303,HadGEM2-ES 4.5
720,2075,66.9373951625019,HadGEM2-ES 4.5
721,2076,237.585208451243,HadGEM2-ES 4.5
722,2077,169.554922537118,HadGEM2-ES 4.5
723,2078,34.0038263282177,HadGEM2-ES 4.5
724,2079,35.8412378805251,HadGEM2-ES 4.5
725,2080,67.3834723744574,HadGEM2-ES 4.5
726,2081,56.1364303157619,HadGEM2-ES 4.5
727,2082,56.6131286115806,HadGEM2-ES 4.5
728,2083,62.4382735125137,HadGEM2-ES 4.5
729,2084,32.3954572059356,HadGEM2-ES 4.5
730,2085,25.4673589773644,HadGEM2-ES 4.5
731,2086,14.1643608417259,HadGEM2-ES 4.5
732,2087,72.016110137311,HadGEM2-ES 4.5
733,2088,135.276626276299,HadGEM2-ES 4.5
734,2089,217.466301711156,HadGEM2-ES 4.5
735,2090,115.640939819389,HadGEM2-ES 4.5
736,2091,118.500038453154,HadGEM2-ES 4.5
737,2092,23.3602398343998,HadGEM2-ES 4.5
738,2093,83.0477079246913,HadGEM2-ES 4.5
739,2094,26.015554827863,HadGEM2-ES 4.5
740,2095,60.5884542307091,HadGEM2-ES 4.5
741,2096,50.4221745998931,HadGEM2-ES 4.5
742,2097,33.1790131909964,HadGEM2-ES 4.5
743,2098,181.905677163032,HadGEM2-ES 4.5
744,2099,264.247842082574,HadGEM2-ES 4.5
810,2016,172.823235155328,HadGEM2-ES 8.5
811,2017,128.602430781576,HadGEM2-ES 8.5
812,2018,158.749384008796,HadGEM2-ES 8.5
813,2019,53.6294710889849,HadGEM2-ES 8.5
814,2020,30.4901404590472,HadGEM2-ES 8.5
815,2021,56.0896794520325,HadGEM2-ES 8.5
816,2022,40.2321154058434,HadGEM2-ES 8.5
817,2023,119.458597598056,HadGEM2-ES 8.5
818,2024,215.589851448737,HadGEM2-ES 8.5
819,2025,182.117065051738,HadGEM2-ES 8.5
820,2026,29.4859404994399,HadGEM2-ES 8.5
821,2027,127.67869100697,HadGEM2-ES 8.5
822,2028,31.580092626517,HadGEM2-ES 8.5
823,2029,96.1594235230243,HadGEM2-ES 8.5
824,2030,172.460099290722,HadGEM2-ES 8.5
825,2031,77.7011800982305,HadGEM2-ES 8.5
826,2032,48.5013773724522,HadGEM2-ES 8.5
827,2033,70.7167900374023,HadGEM2-ES 8.5
828,2034,94.1152242455485,HadGEM2-ES 8.5
829,2035,170.044225082717,HadGEM2-ES 8.5
830,2036,279.593374870725,HadGEM2-ES 8.5
831,2037,192.956485000816,HadGEM2-ES 8.5
832,2038,188.601718653049,HadGEM2-ES 8.5
833,2039,160.379353122236,HadGEM2-ES 8.5
834,2040,171.352289619722,HadGEM2-ES 8.5
835,2041,176.552413506917,HadGEM2-ES 8.5
836,2042,119.020207604707,HadGEM2-ES 8.5
837,2043,28.0286205100138,HadGEM2-ES 8.5
838,2044,203.788992876142,HadGEM2-ES 8.5
839,2045,166.698371654955,HadGEM2-ES 8.5
840,2046,48.2408864663778,HadGEM2-ES 8.5
841,2047,18.2185182248038,HadGEM2-ES 8.5
842,2048,268.995286267419,HadGEM2-ES 8.5
843,2049,175.022329581393,HadGEM2-ES 8.5
844,2050,274.499357656013,HadGEM2-ES 8.5
845,2051,139.649109285869,HadGEM2-ES 8.5
846,2052,22.7699514607335,HadGEM2-ES 8.5
847,2053,33.4994879007588,HadGEM2-ES 8.5
848,2054,26.2649860679272,HadGEM2-ES 8.5
849,2055,30.9655566908254,HadGEM2-ES 8.5
850,2056,52.979930004833,HadGEM2-ES 8.5
851,2057,31.8011258808658,HadGEM2-ES 8.5
852,2058,96.0017053792786,HadGEM2-ES 8.5
853,2059,188.762118812616,HadGEM2-ES 8.5
854,2060,62.475501535271,HadGEM2-ES 8.5
855,2061,73.1867358720497,HadGEM2-ES 8.5
856,2062,46.5460971285091,HadGEM2-ES 8.5
857,2063,18.9889670463424,HadGEM2-ES 8.5
858,2064,57.0964521112036,HadGEM2-ES 8.5
859,2065,43.1816061203049,HadGEM2-ES 8.5
860,2066,56.3444036790857,HadGEM2-ES 8.5
861,2067,20.6006508120356,HadGEM2-ES 8.5
862,2068,49.3730366735675,HadGEM2-ES 8.5
863,2069,12.241110592982,HadGEM2-ES 8.5
